Time [s],Sig [V]
-4.7055960E-02,4.3440842E+00
-4.7051280E-02,4.3438553E+00
-4.7046600E-02,4.3440079E+00
-4.7041920E-02,4.3431686E+00
-4.7037240E-02,4.3443893E+00
-4.7032560E-02,4.3430923E+00
-4.7027880E-02,4.3441605E+00
-4.7023200E-02,4.3439316E+00
-4.7018520E-02,4.3450760E+00
-4.7013840E-02,4.3440842E+00
-4.7009160E-02,4.3446945E+00
-4.7004480E-02,4.3451523E+00
-4.6999800E-02,4.3453812E+00
-4.6995120E-02,4.3450760E+00
-4.6990440E-02,4.3453049E+00
-4.6985760E-02,4.3447708E+00
-4.6981080E-02,4.3451523E+00
-4.6976400E-02,4.3445419E+00
-4.6971720E-02,4.3449997E+00
-4.6967040E-02,4.3452286E+00
-4.6962360E-02,4.3450760E+00
-4.6957680E-02,4.3443130E+00
-4.6953000E-02,4.3452286E+00
-4.6948320E-02,4.3456100E+00
-4.6943640E-02,4.3455338E+00
-4.6938960E-02,4.3451523E+00
-4.6934280E-02,4.3453049E+00
-4.6929600E-02,4.3456100E+00
-4.6924920E-02,4.3463730E+00
-4.6920240E-02,4.3454575E+00
-4.6915560E-02,4.3452286E+00
-4.6910880E-02,4.3446945E+00
-4.6906200E-02,4.3444656E+00
-4.6901520E-02,4.3443893E+00
-4.6896840E-02,4.3449997E+00
-4.6892160E-02,4.3456100E+00
-4.6887480E-02,4.3443893E+00
-4.6882800E-02,4.3449234E+00
-4.6878120E-02,4.3450760E+00
-4.6873440E-02,4.3450760E+00
-4.6868760E-02,4.3453049E+00
-4.6864080E-02,4.3452286E+00
-4.6859400E-02,4.3462204E+00
-4.6854720E-02,4.3450760E+00
-4.6850040E-02,4.3459915E+00
-4.6845360E-02,4.3462967E+00
-4.6840680E-02,4.3466782E+00
-4.6836000E-02,4.3459915E+00
-4.6831320E-02,4.3460678E+00
-4.6826640E-02,4.3468307E+00
-4.6821960E-02,4.3465256E+00
-4.6817280E-02,4.3470596E+00
-4.6812600E-02,4.3469833E+00
-4.6807920E-02,4.3467545E+00
-4.6803240E-02,4.3477463E+00
-4.6798560E-02,4.3463730E+00
-4.6793880E-02,4.3456100E+00
-4.6789200E-02,4.3458389E+00
-4.6784520E-02,4.3456100E+00
-4.6779840E-02,4.3461441E+00
-4.6775160E-02,4.3462967E+00
-4.6770480E-02,4.3461441E+00
-4.6765800E-02,4.3469070E+00
-4.6761120E-02,4.3465256E+00
-4.6756440E-02,4.3468307E+00
-4.6751760E-02,4.3473648E+00
-4.6747080E-02,4.3481277E+00
-4.6742400E-02,4.3471359E+00
-4.6737720E-02,4.3478989E+00
-4.6733040E-02,4.3478989E+00
-4.6728360E-02,4.3469070E+00
-4.6723680E-02,4.3471359E+00
-4.6719000E-02,4.3462204E+00
-4.6714320E-02,4.3469833E+00
-4.6709640E-02,4.3461441E+00
-4.6704960E-02,4.3476700E+00
-4.6700280E-02,4.3478989E+00
-4.6695600E-02,4.3474411E+00
-4.6690920E-02,4.3477463E+00
-4.6686240E-02,4.3478989E+00
-4.6681560E-02,4.3478226E+00
-4.6676880E-02,4.3478226E+00
-4.6672200E-02,4.3484329E+00
-4.6667520E-02,4.3476700E+00
-4.6662840E-02,4.3482040E+00
-4.6658160E-02,4.3478226E+00
-4.6653480E-02,4.3481277E+00
-4.6648800E-02,4.3478226E+00
-4.6644120E-02,4.3490433E+00
-4.6639440E-02,4.3488144E+00
-4.6634760E-02,4.3479752E+00
-4.6630080E-02,4.3480515E+00
-4.6625400E-02,4.3485855E+00
-4.6620720E-02,4.3479752E+00
-4.6616040E-02,4.3480515E+00
-4.6611360E-02,4.3472885E+00
-4.6606680E-02,4.3475174E+00
-4.6602000E-02,4.3478226E+00
-4.6597320E-02,4.3483566E+00
-4.6592640E-02,4.3488144E+00
-4.6587960E-02,4.3494247E+00
-4.6583280E-02,4.3497299E+00
-4.6578600E-02,4.3484329E+00
-4.6573920E-02,4.3490433E+00
-4.6569240E-02,4.3498062E+00
-4.6564560E-02,4.3497299E+00
-4.6559880E-02,4.3495010E+00
-4.6555200E-02,4.3488144E+00
-4.6550520E-02,4.3498062E+00
-4.6545840E-02,4.3497299E+00
-4.6541160E-02,4.3501877E+00
-4.6536480E-02,4.3491959E+00
-4.6531800E-02,4.3501114E+00
-4.6527120E-02,4.3498062E+00
-4.6522440E-02,4.3502640E+00
-4.6517760E-02,4.3494247E+00
-4.6513080E-02,4.3495773E+00
-4.6508400E-02,4.3495773E+00
-4.6503720E-02,4.3506454E+00
-4.6499040E-02,4.3495010E+00
-4.6494360E-02,4.3498062E+00
-4.6489680E-02,4.3491959E+00
-4.6485000E-02,4.3505692E+00
-4.6480320E-02,4.3498062E+00
-4.6475640E-02,4.3497299E+00
-4.6470960E-02,4.3495010E+00
-4.6466280E-02,4.3501114E+00
-4.6461600E-02,4.3498825E+00
-4.6456920E-02,4.3506454E+00
-4.6452240E-02,4.3494247E+00
-4.6447560E-02,4.3504166E+00
-4.6442880E-02,4.3507980E+00
-4.6438200E-02,4.3504929E+00
-4.6433520E-02,4.3506454E+00
-4.6428840E-02,4.3507980E+00
-4.6424160E-02,4.3507217E+00
-4.6419480E-02,4.3513321E+00
-4.6414800E-02,4.3511032E+00
-4.6410120E-02,4.3506454E+00
-4.6405440E-02,4.3501877E+00
-4.6400760E-02,4.3508743E+00
-4.6396080E-02,4.3501877E+00
-4.6391400E-02,4.3513321E+00
-4.6386720E-02,4.3517136E+00
-4.6382040E-02,4.3513321E+00
-4.6377360E-02,4.3514847E+00
-4.6372680E-02,4.3516373E+00
-4.6368000E-02,4.3508743E+00
-4.6363320E-02,4.3516373E+00
-4.6358640E-02,4.3510269E+00
-4.6353960E-02,4.3511795E+00
-4.6349280E-02,4.3511795E+00
-4.6344600E-02,4.3517136E+00
-4.6339920E-02,4.3507980E+00
-4.6335240E-02,4.3513321E+00
-4.6330560E-02,4.3520187E+00
-4.6325880E-02,4.3517136E+00
-4.6321200E-02,4.3510269E+00
-4.6316520E-02,4.3514084E+00
-4.6311840E-02,4.3519424E+00
-4.6307160E-02,4.3521713E+00
-4.6302480E-02,4.3520187E+00
-4.6297800E-02,4.3518661E+00
-4.6293120E-02,4.3520950E+00
-4.6288440E-02,4.3521713E+00
-4.6283760E-02,4.3523239E+00
-4.6279080E-02,4.3522476E+00
-4.6274400E-02,4.3522476E+00
-4.6269720E-02,4.3520950E+00
-4.6265040E-02,4.3519424E+00
-4.6260360E-02,4.3524002E+00
-4.6255680E-02,4.3520187E+00
-4.6251000E-02,4.3525528E+00
-4.6246320E-02,4.3528580E+00
-4.6241640E-02,4.3527054E+00
-4.6236960E-02,4.3527817E+00
-4.6232280E-02,4.3530869E+00
-4.6227600E-02,4.3532394E+00
-4.6222920E-02,4.3522476E+00
-4.6218240E-02,4.3532394E+00
-4.6213560E-02,4.3533157E+00
-4.6208880E-02,4.3530106E+00
-4.6204200E-02,4.3529343E+00
-4.6199520E-02,4.3531631E+00
-4.6194840E-02,4.3532394E+00
-4.6190160E-02,4.3531631E+00
-4.6185480E-02,4.3531631E+00
-4.6180800E-02,4.3531631E+00
-4.6176120E-02,4.3529343E+00
-4.6171440E-02,4.3524002E+00
-4.6166760E-02,4.3525528E+00
-4.6162080E-02,4.3520950E+00
-4.6157400E-02,4.3527817E+00
-4.6152720E-02,4.3531631E+00
-4.6148040E-02,4.3534683E+00
-4.6143360E-02,4.3535446E+00
-4.6138680E-02,4.3535446E+00
-4.6134000E-02,4.3543076E+00
-4.6129320E-02,4.3538498E+00
-4.6124640E-02,4.3537735E+00
-4.6119960E-02,4.3543839E+00
-4.6115280E-02,4.3541550E+00
-4.6110600E-02,4.3532394E+00
-4.6105920E-02,4.3541550E+00
-4.6101240E-02,4.3540024E+00
-4.6096560E-02,4.3527817E+00
-4.6091880E-02,4.3542313E+00
-4.6087200E-02,4.3538498E+00
-4.6082520E-02,4.3545364E+00
-4.6077840E-02,4.3541550E+00
-4.6073160E-02,4.3540024E+00
-4.6068480E-02,4.3545364E+00
-4.6063800E-02,4.3546890E+00
-4.6059120E-02,4.3539261E+00
-4.6054440E-02,4.3543076E+00
-4.6049760E-02,4.3543839E+00
-4.6045080E-02,4.3539261E+00
-4.6040400E-02,4.3545364E+00
-4.6035720E-02,4.3549942E+00
-4.6031040E-02,4.3549179E+00
-4.6026360E-02,4.3553757E+00
-4.6021680E-02,4.3548416E+00
-4.6017000E-02,4.3549942E+00
-4.6012320E-02,4.3546890E+00
-4.6007640E-02,4.3546890E+00
-4.6002960E-02,4.3548416E+00
